id,langLinksCount
53003260,0
7479452,6
18323435,0
23162259,0
853104,1
50372497,1
45154359,3
9767819,0
19380708,0
21897533,0
39641434,0
36463024,2
1310170,3
47701390,1
35177362,0
5676324,20
38505001,1
37267442,1
25627069,0
41080209,0
186062,7
52163605,0
20993803,6
964235,11
32511649,0
474145,7
28494118,1
20761189,0
228708,10
2961541,8
4997078,6
27848031,1
36369021,0
44223240,1
906687,3
53036191,0
48892222,5
40407137,0
18990438,5
54533,84
28673276,1
33581493,1
13689047,1
15229995,0
1087620,0
37398639,1
21486951,53
23802204,9
43134099,1
14841968,0
22110367,1
53269,24
55040,27
45626453,0
21407333,0
42915599,4
6860985,1
83180,18
50244670,1
49298263,1
4838342,13
37548387,3
13130280,4
14042653,6
46510047,1
26908501,0
47886432,0
44051208,0
20967570,7
16572948,0
50973939,0
49432500,1
30479910,0
8497343,3
35365566,2
38958762,1
42098138,26
41935018,0
52152439,2
41794512,0
48213458,0
30853542,0
42896319,0
31561423,0
18740872,2
23079882,0
52118849,0
28340519,1
51825553,0
41801353,0
2376,28
30232359,2
47584519,0
15960175,10
52960383,0
42922366,0
2167950,20
7193331,1
25164474,3
18561489,9
18079917,0
199742,21
51162839,0
33542217,4
1051822,12
48991063,2
11448037,0
4052710,1
21572906,4
1622242,20
410977,14
377884,0
4764209,10
50768750,0
493885,21
333819,10
19841880,5
47092824,1
3674,23
12159101,0
4754511,11
9050382,3
8668396,2
20858415,0
4024100,9
40393655,0
891854,8
101035,4
1078168,13
29753121,5
21878487,0
14232629,1
37100539,0
18890086,4
20772841,1
26619496,8
16286032,1
15448982,0
2221717,5
62108,15
51994814,0
36305069,0
48519957,0
48519455,0
9470267,1
178177,13
146580,29
38936925,2
23821454,9
13454230,1
13765376,1
40714424,3
5764373,1
12783934,1
43483964,4
18345182,0
167070,18
5183703,15
26425820,2
7087215,2
35802001,2
432715,21
12587713,0
8022590,9
229405,10
40515202,7
2370744,27
1367878,9
143363,45
18970840,9
16774,54
62097,26
864147,9
3913827,1
16191460,5
38927316,22
28014952,3
746663,5
33955498,0
2390519,14
56191,31
73374,49
34310242,1
2050929,20
19066574,9
33814994,4
3144275,13
34991318,0
48545523,73
8199007,3
40657110,2
34160448,3
621955,15
52568500,1
12980256,8
26160789,0
37854429,0
20562903,1
3934344,10
1212738,16
2485723,2
3498598,5
97104,21
33114753,0
26777142,4
949580,5
48398731,1
8633132,4
31661807,0
1439116,1
298353,36
2654397,8
3239144,5
3772314,0
701748,2
264208,41
249697,8
52214298,0
40019995,0
52732784,1
38217557,0
9095461,1
40015254,0
2273873,4
32572175,1
561893,9
762445,1
15428368,1
209742,5
19217645,1
15411147,1
11871698,1
3450878,1
11917061,1
80710,22
44443431,0
25780396,0
74658,53
40674362,2
6125948,10
356455,22
21316089,0
19654602,0
490388,1
33176204,0
1923385,9
41994027,4
44942941,8
11700133,6
379540,14
41607304,0
1628936,5
13382312,9
12189641,4
53019973,0
1453216,7
36602266,2
2935272,3
44961127,0
44676228,0
663219,15
21874325,6
53025509,0
41875548,0
